                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.7224,                 10.908,                 1.0864,                  4e-05,                0.00971,                  2e-05,                      0,                 3.2029,                 35.041,                0.95179,             0.00065116,             0.00065116,             0.00065116
                      1,                 1.9486,                 6.6675,                 1.2266,                0.00042,                0.09709,                0.00032,                  9e-05,                 2.9223,                 49.028,                0.93646,              0.0012917,              0.0012917,              0.0012917
                      2,                  2.024,                 6.4201,                 1.3018,                0.01884,                0.01942,                0.00145,                0.00038,                 3.6659,                 39.652,                 1.0548,              0.0019059,              0.0019059,              0.0019059
                      3,                 2.1276,                 5.0063,                 1.3854,                0.00148,                0.02913,                0.00034,                 0.0001,                 3.6747,                 416.86,                 1.1447,              0.0018812,              0.0018812,              0.0018812
                      4,                 2.1851,                 4.1252,                 1.3715,                0.19789,                0.09709,                0.04517,                0.00877,                  3.603,                 16.858,                0.98528,              0.0018812,              0.0018812,              0.0018812
                      5,                  2.241,                 3.6292,                 1.3492,                0.00216,                0.03883,                0.00045,                0.00013,                 3.6428,                 246.46,                  0.957,              0.0018416,              0.0018416,              0.0018416
                      6,                 2.0218,                 2.7176,                  1.371,                 0.0163,                0.03883,                0.00692,                0.00103,                  3.197,                 34.389,                0.95849,               0.001802,               0.001802,               0.001802
                      7,                 2.0926,                 2.6766,                 1.3435,                0.16559,                0.09828,                0.05027,                0.00967,                 3.6502,                 7.3374,                0.99938,              0.0017624,              0.0017624,              0.0017624
                      8,                 1.9673,                 2.2891,                 1.2946,                0.23243,                0.13592,                0.09361,                0.01971,                 3.0379,                 4.6658,                0.91454,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.8763,                 2.2125,                 1.3301,                0.24927,                0.12621,                0.05703,                0.01595,                 3.2242,                 4.7274,                  0.919,              0.0016832,              0.0016832,              0.0016832
                     10,                 2.0245,                 1.9278,                 1.2457,                0.21326,                0.06796,                0.04106,                0.00965,                 3.1683,                 4.4447,                0.94756,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.9364,                 1.9042,                 1.2851,                0.30012,                0.13327,                0.08782,                0.02294,                 3.1419,                 3.7947,                0.88957,               0.001604,               0.001604,               0.001604
                     12,                 1.7977,                 1.6656,                 1.2028,                0.50672,                0.16505,                0.15798,                0.03503,                 2.8728,                 2.9786,                0.89049,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.8723,                 1.7824,                   1.16,                0.21975,                0.12621,                0.08648,                0.02675,                 3.0389,                 3.7577,                0.91081,              0.0015248,              0.0015248,              0.0015248
                     14,                  1.811,                 1.6976,                 1.2009,                0.27095,                0.13592,                0.09899,                0.01969,                 3.0129,                 3.6367,                0.90246,              0.0014852,              0.0014852,              0.0014852
                     15,                 1.7359,                 1.6035,                 1.1886,                0.47905,                0.14291,                0.14667,                0.03064,                 2.9407,                 2.7902,                0.90459,              0.0014456,              0.0014456,              0.0014456
                     16,                 1.9545,                 1.6168,                 1.1708,                0.54846,                0.19417,                0.17605,                0.03957,                 2.9171,                 2.8424,                0.93133,               0.001406,               0.001406,               0.001406
                     17,                 1.8317,                 1.4817,                  1.151,                0.42648,                0.18776,                0.16684,                0.04359,                 2.9146,                 2.7623,                0.88679,              0.0013664,              0.0013664,              0.0013664
                     18,                 1.6867,                 1.3935,                 1.1857,                0.30676,                0.18447,                0.13557,                0.03433,                 3.0894,                 2.8261,                0.89782,              0.0013268,              0.0013268,              0.0013268
                     19,                 1.6876,                 1.3527,                 1.1587,                0.29672,                0.19417,                0.16183,                0.04881,                 2.9319,                 2.4651,                0.89704,              0.0012872,              0.0012872,              0.0012872
                     20,                 1.6709,                 1.2609,                 1.1716,                 0.4839,                0.15534,                0.14103,                0.03245,                 2.8558,                 2.4849,                0.88174,              0.0012476,              0.0012476,              0.0012476
