                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4211,                 2.9604,                   1.41,                0.79547,                0.81493,                0.88693,                0.57042,                 1.0941,                 10.442,                 1.1527,             0.00022105,             0.00022105,             0.00022105
                      1,                 1.2284,                 1.9384,                 1.2673,                0.73303,                0.87791,                0.84897,                0.57014,                0.99542,                 10.587,                 1.0855,             0.00043899,             0.00043899,             0.00043899
                      2,                 1.2227,                 1.7672,                 1.2645,                0.63244,                0.95658,                0.93096,                0.59375,                 1.0645,                 11.282,                 1.1084,             0.00065253,             0.00065253,             0.00065253
                      3,                 1.1936,                 1.6579,                   1.26,                 0.7686,                0.96154,                 0.9509,                0.66326,                 1.0157,                 8.9357,                 1.0955,             0.00064719,             0.00064719,             0.00064719
                      4,                 1.1552,                 1.4586,                   1.22,                0.73979,                0.88974,                0.85365,                0.57077,                 1.0725,                 7.0841,                 1.1211,             0.00064719,             0.00064719,             0.00064719
                      5,                 1.1282,                 1.3381,                 1.1993,                0.68449,                0.94001,                0.93009,                 0.6147,                 1.0285,                 8.2539,                 1.0617,             0.00064059,             0.00064059,             0.00064059
                      6,                 1.1377,                 1.2534,                 1.1826,                0.80084,                0.95142,                 0.8587,                0.50399,                 1.2742,                 5.3913,                 1.2395,             0.00063398,             0.00063398,             0.00063398
                      7,                 1.1104,                 1.1716,                 1.1759,                0.77826,                0.96596,                0.86796,                 0.6018,                 1.0367,                 5.2249,                 1.0807,             0.00062738,             0.00062738,             0.00062738
                      8,                 1.0842,                  1.068,                 1.1572,                0.69479,                0.98077,                0.82891,                0.60516,                 1.0003,                 6.1189,                 1.0284,             0.00062078,             0.00062078,             0.00062078
                      9,                 1.0238,                 1.0011,                 1.1142,                0.80964,                0.96421,                0.90214,                0.67582,                0.91008,                 4.4927,                 1.0139,             0.00061417,             0.00061417,             0.00061417
                     10,                0.97544,                0.93071,                  1.115,                0.79221,                0.95043,                0.92931,                0.67308,                0.92336,                 5.3608,                 1.0058,             0.00060757,             0.00060757,             0.00060757
                     11,                 1.0136,                 0.9429,                 1.1386,                 0.8291,                 0.9689,                0.95277,                0.70492,                0.86795,                  4.657,                 1.0208,             0.00060097,             0.00060097,             0.00060097
                     12,                 1.0142,                0.87874,                 1.1152,                 0.7947,                0.96978,                0.87485,                0.62054,                 1.0144,                 4.3453,                 1.0623,             0.00059436,             0.00059436,             0.00059436
                     13,                0.97082,                0.86923,                 1.1058,                0.74972,                0.98999,                0.85753,                 0.6112,                0.99933,                 4.6808,                  1.059,             0.00058776,             0.00058776,             0.00058776
                     14,                0.92729,                 0.8149,                 1.1104,                0.74058,                      1,                0.84222,                0.63585,                0.84805,                 4.1408,                 0.9672,             0.00058116,             0.00058116,             0.00058116
                     15,                0.93321,                0.79631,                 1.0985,                0.78689,                      1,                0.93474,                0.70686,                0.89599,                 3.8727,                0.98519,             0.00057455,             0.00057455,             0.00057455
                     16,                 0.9177,                 0.7748,                 1.0857,                0.84944,                0.97868,                0.95182,                0.71117,                0.92675,                  3.211,                0.99494,             0.00056795,             0.00056795,             0.00056795
                     17,                0.91497,                0.75612,                 1.0742,                0.80814,                0.99553,                0.90665,                0.69095,                0.90722,                 4.0021,                 1.0085,             0.00056135,             0.00056135,             0.00056135
                     18,                0.90024,                0.72652,                 1.0874,                0.84265,                0.98241,                0.96505,                0.71817,                0.94704,                  3.975,                 1.0147,             0.00055474,             0.00055474,             0.00055474
                     19,                0.86822,                0.68539,                 1.0674,                0.77254,                      1,                0.94393,                0.69281,                0.93078,                 4.2352,                 1.0094,             0.00054814,             0.00054814,             0.00054814
                     20,                0.87543,                0.68389,                 1.0494,                0.84505,                0.98817,                0.95467,                0.75609,                 0.8394,                 3.7052,                0.97769,             0.00054154,             0.00054154,             0.00054154
                     21,                0.89437,                0.67766,                 1.0777,                0.79685,                0.98395,                0.90254,                0.70584,                0.85875,                 3.9725,                0.99499,             0.00053493,             0.00053493,             0.00053493
                     22,                0.86194,                0.64767,                  1.054,                0.84378,                0.97313,                0.95573,                 0.7474,                0.84228,                 3.0553,                0.97251,             0.00052833,             0.00052833,             0.00052833
                     23,                 0.8659,                0.63575,                 1.0494,                0.74478,                0.98077,                 0.9342,                0.74437,                0.75732,                 5.0832,                0.95508,             0.00052173,             0.00052173,             0.00052173
                     24,                0.83572,                0.63163,                 1.0496,                0.78465,                0.94697,                0.87431,                0.66198,                0.86696,                 2.3302,                 1.0273,             0.00051512,             0.00051512,             0.00051512
                     25,                0.83318,                0.62805,                 1.0453,                0.83749,                0.97341,                0.96197,                0.75059,                0.80116,                 3.8816,                0.96749,             0.00050852,             0.00050852,             0.00050852
